mHiggs mTop log10gamma lmin
1.206000e+02 1.742000e+02 -7.515512e+01 -3.650117e-02
1.206000e+02 1.744000e+02 -6.441274e+01 -3.778522e-02
1.206000e+02 1.746000e+02 -5.435287e+01 -3.907347e-02
1.206000e+02 1.748000e+02 -4.491263e+01 -4.036590e-02
1.206000e+02 1.750000e+02 -3.603662e+01 -4.166254e-02
1.206000e+02 1.752000e+02 -2.767587e+01 -4.296337e-02
1.206000e+02 1.754000e+02 -1.978690e+01 -4.426842e-02
1.206000e+02 1.756000e+02 -1.233103e+01 -4.558015e-02
1.206000e+02 1.758000e+02 -5.273588e+00 -4.689670e-02
1.206000e+02 1.760000e+02 1.416262e+00 -4.821758e-02
1.206000e+02 1.762000e+02 7.766488e+00 -4.954281e-02
1.206000e+02 1.764000e+02 1.380234e+01 -5.087239e-02
1.206000e+02 1.766000e+02 1.954651e+01 -5.220633e-02
1.206000e+02 1.768000e+02 2.501956e+01 -5.354620e-02
1.206000e+02 1.770000e+02 3.024018e+01 -5.489233e-02
1.206000e+02 1.772000e+02 3.522539e+01 -5.624295e-02
1.206000e+02 1.774000e+02 3.999071e+01 -5.759807e-02
1.206000e+02 1.776000e+02 4.455033e+01 -5.895770e-02
1.206000e+02 1.778000e+02 4.891725e+01 -6.032186e-02
1.206000e+02 1.780000e+02 5.310340e+01 -6.169121e-02
1.206000e+02 1.782000e+02 5.711974e+01 -6.306825e-02
1.206000e+02 1.784000e+02 6.097637e+01 -6.444995e-02
1.206000e+02 1.786000e+02 6.468260e+01 -6.583633e-02
1.206000e+02 1.788000e+02 6.824704e+01 -6.722739e-02
1.206000e+02 1.790000e+02 7.167765e+01 -6.862316e-02
1.206000e+02 1.792000e+02 7.498182e+01 -7.002364e-02
1.206000e+02 1.794000e+02 7.816640e+01 -7.143240e-02
1.206000e+02 1.796000e+02 8.123774e+01 -7.284659e-02
1.206000e+02 1.798000e+02 8.420177e+01 -7.426565e-02
1.206000e+02 1.800000e+02 8.706401e+01 -7.568958e-02
1.208000e+02 1.700000e+02 -9.466702e+02 -9.974896e-03
1.208000e+02 1.702000e+02 -8.145483e+02 -1.117330e-02
1.208000e+02 1.704000e+02 -7.085677e+02 -1.237555e-02
1.208000e+02 1.706000e+02 -6.216788e+02 -1.358163e-02
1.208000e+02 1.708000e+02 -5.491555e+02 -1.479154e-02
1.208000e+02 1.710000e+02 -4.877119e+02 -1.600530e-02
1.208000e+02 1.712000e+02 -4.349925e+02 -1.722289e-02
1.208000e+02 1.714000e+02 -3.892650e+02 -1.844431e-02
1.208000e+02 1.716000e+02 -3.492270e+02 -1.967088e-02
1.208000e+02 1.718000e+02 -3.138806e+02 -2.090153e-02
1.208000e+02 1.720000e+02 -2.824477e+02 -2.213612e-02
1.208000e+02 1.722000e+02 -2.543137e+02 -2.337464e-02
1.208000e+02 1.724000e+02 -2.289859e+02 -2.461711e-02
1.208000e+02 1.726000e+02 -2.060652e+02 -2.586352e-02
1.208000e+02 1.728000e+02 -1.852246e+02 -2.711388e-02
1.208000e+02 1.730000e+02 -1.661939e+02 -2.836819e-02
1.208000e+02 1.732000e+02 -1.487474e+02 -2.962819e-02
1.208000e+02 1.734000e+02 -1.326957e+02 -3.089259e-02
1.208000e+02 1.736000e+02 -1.178782e+02 -3.216104e-02
1.208000e+02 1.738000e+02 -1.041583e+02 -3.343356e-02
1.208000e+02 1.740000e+02 -9.141861e+01 -3.471014e-02
1.208000e+02 1.742000e+02 -7.955792e+01 -3.599080e-02
1.208000e+02 1.744000e+02 -6.848856e+01 -3.727554e-02
1.208000e+02 1.746000e+02 -5.813408e+01 -3.856670e-02
1.208000e+02 1.748000e+02 -4.842754e+01 -3.986231e-02
1.208000e+02 1.750000e+02 -3.931014e+01 -4.116211e-02
1.208000e+02 1.752000e+02 -3.072998e+01 -4.246612e-02
1.208000e+02 1.754000e+02 -2.264106e+01 -4.377433e-02
1.208000e+02 1.756000e+02 -1.500250e+01 -4.508676e-02
1.208000e+02 1.758000e+02 -7.777775e+00 -4.640471e-02
1.208000e+02 1.760000e+02 -9.342476e-01 -4.772869e-02
1.208000e+02 1.762000e+02 5.557079e+00 -4.905702e-02
1.208000e+02 1.764000e+02 1.172299e+01 -5.038970e-02
1.208000e+02 1.766000e+02 1.758724e+01 -5.172674e-02
1.208000e+02 1.768000e+02 2.317134e+01 -5.306814e-02
1.208000e+02 1.770000e+02 2.849484e+01 -5.441442e-02
1.208000e+02 1.772000e+02 3.357549e+01 -5.576808e-02
1.208000e+02 1.774000e+02 3.842952e+01 -5.712623e-02
1.208000e+02 1.776000e+02 4.307169e+01 -5.848890e-02
1.208000e+02 1.778000e+02 4.751554e+01 -5.985609e-02
1.208000e+02 1.780000e+02 5.177348e+01 -6.122780e-02
1.208000e+02 1.782000e+02 5.585690e+01 -6.260407e-02
1.208000e+02 1.784000e+02 5.977628e+01 -6.398843e-02
1.208000e+02 1.786000e+02 6.354129e+01 -6.537778e-02
1.208000e+02 1.788000e+02 6.716086e+01 -6.677181e-02
1.208000e+02 1.790000e+02 7.064322e+01 -6.817054e-02
1.208000e+02 1.792000e+02 7.399601e+01 -6.957398e-02
1.208000e+02 1.794000e+02 7.722632e+01 -7.098214e-02
1.208000e+02 1.796000e+02 8.034073e+01 -7.239778e-02
1.208000e+02 1.798000e+02 8.334535e+01 -7.381974e-02
1.208000e+02 1.800000e+02 8.624588e+01 -7.524657e-02
1.210000e+02 1.700000e+02 -1.022418e+03 -9.399038e-03
1.210000e+02 1.702000e+02 -8.735815e+02 -1.060087e-02
1.210000e+02 1.704000e+02 -7.557657e+02 -1.180653e-02
1.210000e+02 1.706000e+02 -6.602009e+02 -1.301604e-02
1.210000e+02 1.708000e+02 -5.811363e+02 -1.422937e-02
1.210000e+02 1.710000e+02 -5.146432e+02 -1.544654e-02
1.210000e+02 1.712000e+02 -4.579484e+02 -1.666754e-02
1.210000e+02 1.714000e+02 -4.090375e+02 -1.789238e-02
1.210000e+02 1.716000e+02 -3.664127e+02 -1.912104e-02
1.210000e+02 1.718000e+02 -3.289372e+02 -2.035354e-02
1.210000e+02 1.720000e+02 -2.957324e+02 -2.159119e-02
1.210000e+02 1.722000e+02 -2.661086e+02 -2.283306e-02
1.210000e+02 1.724000e+02 -2.395171e+02 -2.407887e-02
1.210000e+02 1.726000e+02 -2.155158e+02 -2.532861e-02
1.210000e+02 1.728000e+02 -1.937444e+02 -2.658230e-02
1.210000e+02 1.730000e+02 -1.739066e+02 -2.783994e-02
1.210000e+02 1.732000e+02 -1.557564e+02 -2.910152e-02
1.210000e+02 1.734000e+02 -1.390873e+02 -3.036739e-02
1.210000e+02 1.736000e+02 -1.237257e+02 -3.163911e-02
1.210000e+02 1.738000e+02 -1.095238e+02 -3.291490e-02
1.210000e+02 1.740000e+02 -9.635542e+01 -3.419474e-02
1.210000e+02 1.742000e+02 -8.411192e+01 -3.547866e-02
1.210000e+02 1.744000e+02 -7.269942e+01 -3.676664e-02
1.210000e+02 1.746000e+02 -6.203630e+01 -3.805871e-02
1.210000e+02 1.748000e+02 -5.205124e+01 -3.935596e-02
1.210000e+02 1.750000e+02 -4.268176e+01 -4.065895e-02
1.210000e+02 1.752000e+02 -3.387276e+01 -4.196615e-02
1.210000e+02 1.754000e+02 -2.557557e+01 -4.327754e-02
1.210000e+02 1.756000e+02 -1.774695e+01 -4.459315e-02
1.210000e+02 1.758000e+02 -1.034843e+01 -4.591298e-02
1.210000e+02 1.760000e+02 -3.345586e+00 -4.723719e-02
1.210000e+02 1.762000e+02 3.292177e+00 -4.856864e-02
1.210000e+02 1.764000e+02 9.592823e+00 -4.990444e-02
1.210000e+02 1.766000e+02 1.558132e+01 -5.124459e-02
1.210000e+02 1.768000e+02 2.128023e+01 -5.258910e-02
1.210000e+02 1.770000e+02 2.670999e+01 -5.393799e-02
1.210000e+02 1.772000e+02 3.188916e+01 -5.529125e-02
1.210000e+02 1.774000e+02 3.683466e+01 -5.665194e-02
1.210000e+02 1.776000e+02 4.156190e+01 -5.801765e-02
1.210000e+02 1.778000e+02 4.608498e+01 -5.938789e-02
1.210000e+02 1.780000e+02 5.041679e+01 -6.076265e-02
1.210000e+02 1.782000e+02 5.456920e+01 -6.214195e-02
1.210000e+02 1.784000e+02 5.855308e+01 -6.352580e-02
1.210000e+02 1.786000e+02 6.237847e+01 -6.491689e-02
1.210000e+02 1.788000e+02 6.605461e+01 -6.631391e-02
1.210000e+02 1.790000e+02 6.959006e+01 -6.771562e-02
1.210000e+02 1.792000e+02 7.299271e+01 -6.912204e-02
1.210000e+02 1.794000e+02 7.626990e+01 -7.053317e-02
1.210000e+02 1.796000e+02 7.942842e+01 -7.194905e-02
1.210000e+02 1.798000e+02 8.247460e+01 -7.337161e-02
1.210000e+02 1.800000e+02 8.541431e+01 -7.480137e-02
1.212000e+02 1.700000e+02 -1.108977e+03 -8.820919e-03
1.212000e+02 1.702000e+02 -9.399886e+02 -1.002541e-02
1.212000e+02 1.704000e+02 -8.082026e+02 -1.123413e-02
1.212000e+02 1.706000e+02 -7.025695e+02 -1.244708e-02
1.212000e+02 1.708000e+02 -6.160177e+02 -1.366386e-02
1.212000e+02 1.710000e+02 -5.438118e+02 -1.488447e-02
1.212000e+02 1.712000e+02 -4.826628e+02 -1.610891e-02
1.212000e+02 1.714000e+02 -4.302150e+02 -1.733719e-02
1.212000e+02 1.716000e+02 -3.847370e+02 -1.856929e-02
1.212000e+02 1.718000e+02 -3.449280e+02 -1.980522e-02
1.212000e+02 1.720000e+02 -3.097919e+02 -2.104498e-02
1.212000e+02 1.722000e+02 -2.785524e+02 -2.228858e-02
1.212000e+02 1.724000e+02 -2.505965e+02 -2.353751e-02
1.212000e+02 1.726000e+02 -2.254332e+02 -2.479062e-02
1.212000e+02 1.728000e+02 -2.026646e+02 -2.604767e-02
1.212000e+02 1.730000e+02 -1.819650e+02 -2.730866e-02
1.212000e+02 1.732000e+02 -1.630654e+02 -2.857359e-02
1.212000e+02 1.734000e+02 -1.457408e+02 -2.984247e-02
1.212000e+02 1.736000e+02 -1.298028e+02 -3.111530e-02
1.212000e+02 1.738000e+02 -1.150917e+02 -3.239331e-02
1.212000e+02 1.740000e+02 -1.014713e+02 -3.367644e-02
1.212000e+02 1.742000e+02 -8.882504e+01 -3.496364e-02
1.212000e+02 1.744000e+02 -7.705214e+01 -3.625490e-02
1.212000e+02 1.746000e+02 -6.606543e+01 -3.755024e-02
1.212000e+02 1.748000e+02 -5.578888e+01 -3.884966e-02
1.212000e+02 1.750000e+02 -4.615594e+01 -4.015316e-02
1.212000e+02 1.752000e+02 -3.710814e+01 -4.146343e-02
1.212000e+02 1.754000e+02 -2.859389e+01 -4.277804e-02
1.212000e+02 1.756000e+02 -2.056747e+01 -4.409685e-02
1.212000e+02 1.758000e+02 -1.298827e+01 -4.541988e-02
1.212000e+02 1.760000e+02 -5.819959e+00 -4.674713e-02
1.212000e+02 1.762000e+02 9.697490e-01 -4.807861e-02
1.212000e+02 1.764000e+02 7.409943e+00 -4.941658e-02
1.212000e+02 1.766000e+02 1.352708e+01 -5.075987e-02
1.212000e+02 1.768000e+02 1.934473e+01 -5.210751e-02
1.212000e+02 1.770000e+02 2.488430e+01 -5.345953e-02
1.212000e+02 1.772000e+02 3.016519e+01 -5.481592e-02
1.212000e+02 1.774000e+02 3.520505e+01 -5.617670e-02
1.212000e+02 1.776000e+02 4.001998e+01 -5.754395e-02
1.212000e+02 1.778000e+02 4.462466e+01 -5.891725e-02
1.212000e+02 1.780000e+02 4.903253e+01 -6.029507e-02
1.212000e+02 1.782000e+02 5.325590e+01 -6.167744e-02
1.212000e+02 1.784000e+02 5.730609e+01 -6.306434e-02
1.212000e+02 1.786000e+02 6.119351e+01 -6.445581e-02
1.212000e+02 1.788000e+02 6.492775e+01 -6.585368e-02
1.212000e+02 1.790000e+02 6.851767e+01 -6.725839e-02
1.212000e+02 1.792000e+02 7.197146e+01 -6.866780e-02
1.212000e+02 1.794000e+02 7.529670e+01 -7.008193e-02
1.212000e+02 1.796000e+02 7.850042e+01 -7.150079e-02
1.212000e+02 1.798000e+02 8.158916e+01 -7.292440e-02
1.212000e+02 1.800000e+02 8.456897e+01 -7.435395e-02
1.214000e+02 1.700000e+02 -1.208830e+03 -8.240694e-03
1.214000e+02 1.702000e+02 -1.015238e+03 -9.448733e-03
1.214000e+02 1.704000e+02 -8.668008e+02 -1.066050e-02
1.214000e+02 1.706000e+02 -7.493903e+02 -1.187600e-02
1.214000e+02 1.708000e+02 -6.542132e+02 -1.309522e-02
1.214000e+02 1.710000e+02 -5.755084e+02 -1.431906e-02
1.214000e+02 1.712000e+02 -5.093459e+02 -1.554697e-02
1.214000e+02 1.714000e+02 -4.529528e+02 -1.677871e-02
1.214000e+02 1.716000e+02 -4.043169e+02 -1.801427e-02
1.214000e+02 1.718000e+02 -3.619427e+02 -1.925366e-02
1.214000e+02 1.720000e+02 -3.246962e+02 -2.049688e-02
1.214000e+02 1.722000e+02 -2.917004e+02 -2.174392e-02
1.214000e+02 1.724000e+02 -2.622683e+02 -2.299479e-02
1.214000e+02 1.726000e+02 -2.358530e+02 -2.424951e-02
1.214000e+02 1.728000e+02 -2.120141e+02 -2.550995e-02
1.214000e+02 1.730000e+02 -1.903927e+02 -2.677432e-02
1.214000e+02 1.732000e+02 -1.706940e+02 -2.804263e-02
1.214000e+02 1.734000e+02 -1.526725e+02 -2.931488e-02
1.214000e+02 1.736000e+02 -1.361234e+02 -3.059108e-02
1.214000e+02 1.738000e+02 -1.208736e+02 -3.187123e-02
1.214000e+02 1.740000e+02 -1.067763e+02 -3.315533e-02
1.214000e+02 1.742000e+02 -9.370576e+01 -3.444573e-02
1.214000e+02 1.744000e+02 -8.155405e+01 -3.574029e-02
1.214000e+02 1.746000e+02 -7.022783e+01 -3.703893e-02
1.214000e+02 1.748000e+02 -5.964590e+01 -3.834164e-02
1.214000e+02 1.750000e+02 -4.973742e+01 -3.964843e-02
1.214000e+02 1.752000e+02 -4.044026e+01 -4.095930e-02
1.214000e+02 1.754000e+02 -3.169965e+01 -4.227579e-02
1.214000e+02 1.756000e+02 -2.346724e+01 -4.359783e-02
1.214000e+02 1.758000e+02 -1.570009e+01 -4.492408e-02
1.214000e+02 1.760000e+02 -8.359884e+00 -4.625455e-02
1.214000e+02 1.762000e+02 -1.412501e+00 -4.758924e-02
1.214000e+02 1.764000e+02 5.172406e+00 -4.892817e-02
1.214000e+02 1.766000e+02 1.142274e+01 -5.027255e-02
1.214000e+02 1.768000e+02 1.736325e+01 -5.162335e-02
1.214000e+02 1.770000e+02 2.301633e+01 -5.297852e-02
1.214000e+02 1.772000e+02 2.840228e+01 -5.433806e-02
1.214000e+02 1.774000e+02 3.353954e+01 -5.570198e-02
1.214000e+02 1.776000e+02 3.844490e+01 -5.707029e-02
1.214000e+02 1.778000e+02 4.313367e+01 -5.844415e-02
1.214000e+02 1.780000e+02 4.761984e+01 -5.982506e-02
1.214000e+02 1.782000e+02 5.191623e+01 -6.121050e-02
1.214000e+02 1.784000e+02 5.603460e+01 -6.260048e-02
1.214000e+02 1.786000e+02 5.998577e+01 -6.399502e-02
1.214000e+02 1.788000e+02 6.377968e+01 -6.539413e-02
1.214000e+02 1.790000e+02 6.742552e+01 -6.679882e-02
1.214000e+02 1.792000e+02 7.093177e+01 -6.821125e-02
1.214000e+02 1.794000e+02 7.430628e+01 -6.962839e-02
1.214000e+02 1.796000e+02 7.755632e+01 -7.105026e-02
1.214000e+02 1.798000e+02 8.068864e+01 -7.247687e-02
1.214000e+02 1.800000e+02 8.370952e+01 -7.390824e-02
1.216000e+02 1.700000e+02 -1.325287e+03 -7.656931e-03
1.216000e+02 1.702000e+02 -1.101222e+03 -8.868541e-03
1.216000e+02 1.704000e+02 -9.327123e+02 -1.008388e-02
1.216000e+02 1.706000e+02 -8.014028e+02 -1.130294e-02
1.216000e+02 1.708000e+02 -6.962176e+02 -1.252572e-02
1.216000e+02 1.710000e+02 -6.100763e+02 -1.375223e-02
1.216000e+02 1.712000e+02 -5.382427e+02 -1.498246e-02
