mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
6.0285274e+10	6.3146248e-01	5.6288668e-01	5.2416016e-01	5.1568493e-01	7.3442194e-03	1.7604779e-03	1.5619837e-04	3.4965128e-06	7.6472207e-06	1.0141809e-02	5.9955776e-04	2.8996601e-06	-1.2559556e-03
9.5545721e+10	6.2634324e-01	5.6126862e-01	5.2590409e-01	5.1119706e-01	7.2665733e-03	1.7430789e-03	1.5472881e-04	3.4619563e-06	7.5752732e-06	1.0126288e-02	5.9863988e-04	2.8952209e-06	-1.9984509e-03
1.5142976e+11	6.2134726e-01	5.5966417e-01	5.2766540e-01	5.0680041e-01	7.1908087e-03	1.7260655e-03	1.5329252e-04	3.4281656e-06	7.5049550e-06	1.0110376e-02	5.9769896e-04	2.8906703e-06	-2.7018427e-03
2.4000000e+11	6.1646966e-01	5.5807315e-01	5.2944441e-01	5.0249151e-01	7.1168503e-03	1.7094225e-03	1.5188822e-04	3.3951108e-06	7.4362030e-06	1.0094085e-02	5.9673562e-04	2.8860113e-06	-3.3677374e-03
3.8037436e+11	6.1170581e-01	5.5649537e-01	5.3124141e-01	4.9826710e-01	7.0446272e-03	1.6931359e-03	1.5051469e-04	3.3627637e-06	7.3689570e-06	1.0077426e-02	5.9575049e-04	2.8812469e-06	-3.9976622e-03
6.0285274e+11	6.0705135e-01	5.5493066e-01	5.3305672e-01	4.9412407e-01	6.9740719e-03	1.6771922e-03	1.4917076e-04	3.3310975e-06	7.3031606e-06	1.0060407e-02	5.9474415e-04	2.8763799e-06	-4.5930700e-03
9.5545721e+11	6.0250214e-01	5.5337885e-01	5.3489065e-01	4.9005948e-01	6.9051209e-03	1.6615786e-03	1.4785534e-04	3.3000870e-06	7.2387599e-06	1.0043040e-02	5.9371715e-04	2.8714129e-06	-5.1553437e-03
1.5142976e+12	5.9805426e-01	5.5183976e-01	5.3674352e-01	4.8607053e-01	6.8377140e-03	1.6462830e-03	1.4656739e-04	3.2697082e-06	7.1757041e-06	1.0025331e-02	5.9267001e-04	2.8663486e-06	-5.6858006e-03
2.4000000e+12	5.9370399e-01	5.5031323e-01	5.3861568e-01	4.8215457e-01	6.7717940e-03	1.6312939e-03	1.4530593e-04	3.2399382e-06	7.1139449e-06	1.0007291e-02	5.9160324e-04	2.8611894e-06	-6.1856962e-03
3.8037436e+12	5.8944780e-01	5.4879909e-01	5.4050746e-01	4.7830908e-01	6.7073066e-03	1.6166006e-03	1.4407001e-04	3.2107554e-06	7.0534364e-06	9.9889257e-03	5.9051730e-04	2.8559374e-06	-6.6562275e-03
6.0285274e+12	5.8528234e-01	5.4729719e-01	5.4241920e-01	4.7453166e-01	6.6442005e-03	1.6021925e-03	1.4285875e-04	3.1821393e-06	6.9941351e-06	9.9702443e-03	5.8941265e-04	2.8505949e-06	-7.0985368e-03
