mHiggs mTop log10gamma lmin
1.210000e+02 1.756000e+02 -3.647926e+01 -4.160408e-02
1.210000e+02 1.758000e+02 -2.807506e+01 -4.290788e-02
1.210000e+02 1.760000e+02 -2.014723e+01 -4.421714e-02
1.210000e+02 1.762000e+02 -1.265654e+01 -4.553227e-02
1.210000e+02 1.764000e+02 -5.567849e+00 -4.685167e-02
1.210000e+02 1.766000e+02 1.150147e+00 -4.817536e-02
1.210000e+02 1.768000e+02 7.525613e+00 -4.950333e-02
1.210000e+02 1.770000e+02 1.358427e+01 -5.083560e-02
1.210000e+02 1.772000e+02 1.934900e+01 -5.217261e-02
1.210000e+02 1.774000e+02 2.484064e+01 -5.351690e-02
1.210000e+02 1.776000e+02 3.007806e+01 -5.486562e-02
1.210000e+02 1.778000e+02 3.507848e+01 -5.621877e-02
1.210000e+02 1.780000e+02 3.985757e+01 -5.757637e-02
1.210000e+02 1.782000e+02 4.442967e+01 -5.893843e-02
1.210000e+02 1.784000e+02 4.880790e+01 -6.030495e-02
1.210000e+02 1.786000e+02 5.300431e+01 -6.167935e-02
1.210000e+02 1.788000e+02 5.702995e+01 -6.305872e-02
1.210000e+02 1.790000e+02 6.089502e+01 -6.444270e-02
1.210000e+02 1.792000e+02 6.460890e+01 -6.583129e-02
1.210000e+02 1.794000e+02 6.818029e+01 -6.722452e-02
1.210000e+02 1.796000e+02 7.161719e+01 -6.862239e-02
1.210000e+02 1.798000e+02 7.492707e+01 -7.002757e-02
1.210000e+02 1.800000e+02 7.811680e+01 -7.143900e-02
1.212000e+02 1.700000e+02 -1.706616e+03 -6.236331e-03
1.212000e+02 1.702000e+02 -1.377038e+03 -7.427583e-03
1.212000e+02 1.704000e+02 -1.142046e+03 -8.622626e-03
1.212000e+02 1.706000e+02 -9.660936e+02 -9.821458e-03
1.212000e+02 1.708000e+02 -8.294483e+02 -1.102408e-02
1.212000e+02 1.710000e+02 -7.202767e+02 -1.223048e-02
1.212000e+02 1.712000e+02 -6.310617e+02 -1.344067e-02
1.212000e+02 1.714000e+02 -5.567962e+02 -1.465464e-02
1.212000e+02 1.716000e+02 -4.940179e+02 -1.587240e-02
1.212000e+02 1.718000e+02 -4.402566e+02 -1.709393e-02
1.212000e+02 1.720000e+02 -3.937023e+02 -1.831988e-02
