mHiggs mTop log10gamma lmin
1.204000e+02 1.790000e+02 5.533644e+01 -6.261566e-02
1.204000e+02 1.792000e+02 5.920953e+01 -6.398178e-02
1.204000e+02 1.794000e+02 6.293232e+01 -6.535255e-02
1.204000e+02 1.796000e+02 6.651338e+01 -6.672798e-02
1.204000e+02 1.798000e+02 6.996063e+01 -6.810810e-02
1.204000e+02 1.800000e+02 7.328141e+01 -6.949291e-02
1.206000e+02 1.700000e+02 -2.006601e+03 -5.457076e-03
1.206000e+02 1.702000e+02 -1.586279e+03 -6.624860e-03
1.206000e+02 1.704000e+02 -1.297324e+03 -7.796494e-03
1.206000e+02 1.706000e+02 -1.086581e+03 -8.971975e-03
1.206000e+02 1.708000e+02 -9.261267e+02 -1.015130e-02
1.206000e+02 1.710000e+02 -7.999059e+02 -1.133448e-02
1.206000e+02 1.712000e+02 -6.980314e+02 -1.252149e-02
1.206000e+02 1.714000e+02 -6.140868e+02 -1.371235e-02
1.206000e+02 1.716000e+02 -5.437263e+02 -1.490705e-02
1.206000e+02 1.718000e+02 -4.839029e+02 -1.610560e-02
1.206000e+02 1.720000e+02 -4.324170e+02 -1.730798e-02
1.206000e+02 1.722000e+02 -3.876410e+02 -1.851502e-02
1.206000e+02 1.724000e+02 -3.483451e+02 -1.972652e-02
1.206000e+02 1.726000e+02 -3.135827e+02 -2.094196e-02
1.206000e+02 1.728000e+02 -2.826132e+02 -2.216135e-02
1.206000e+02 1.730000e+02 -2.548489e+02 -2.338468e-02
1.206000e+02 1.732000e+02 -2.298176e+02 -2.461195e-02
1.206000e+02 1.734000e+02 -2.071355e+02 -2.584318e-02
1.206000e+02 1.736000e+02 -1.864873e+02 -2.707835e-02
1.206000e+02 1.738000e+02 -1.676118e+02 -2.831769e-02
1.206000e+02 1.740000e+02 -1.502906e+02 -2.956282e-02
1.206000e+02 1.742000e+02 -1.343397e+02 -3.081200e-02
1.206000e+02 1.744000e+02 -1.196030e+02 -3.206524e-02
1.206000e+02 1.746000e+02 -1.059474e+02 -3.332255e-02
1.206000e+02 1.748000e+02 -9.325834e+01 -3.458392e-02
1.206000e+02 1.750000e+02 -8.143704e+01 -3.584936e-02
1.206000e+02 1.752000e+02 -7.039763e+01 -3.711888e-02
1.206000e+02 1.754000e+02 -6.006524e+01 -3.839482e-02
1.206000e+02 1.756000e+02 -5.037426e+01 -3.967516e-02
1.206000e+02 1.758000e+02 -4.126689e+01 -4.095969e-02
1.206000e+02 1.760000e+02 -3.269210e+01 -4.224842e-02
1.206000e+02 1.762000e+02 -2.460466e+01 -4.354136e-02
1.206000e+02 1.764000e+02 -1.696429e+01 -4.483850e-02
1.206000e+02 1.766000e+02 -9.735047e+00 -4.614054e-02
1.206000e+02 1.768000e+02 -2.884658e+00 -4.744916e-02
1.206000e+02 1.770000e+02 3.615526e+00 -4.876212e-02
1.206000e+02 1.772000e+02 9.791879e+00 -5.007942e-02
1.206000e+02 1.774000e+02 1.566792e+01 -5.140107e-02
1.206000e+02 1.776000e+02 2.126494e+01 -5.272708e-02
1.206000e+02 1.778000e+02 2.660229e+01 -5.405745e-02
1.206000e+02 1.780000e+02 3.169758e+01 -5.539477e-02
1.206000e+02 1.782000e+02 3.656685e+01 -5.673742e-02
1.206000e+02 1.784000e+02 4.122477e+01 -5.808456e-02
1.206000e+02 1.786000e+02 4.568476e+01 -5.943621e-02
1.206000e+02 1.788000e+02 4.995915e+01 -6.079238e-02
1.206000e+02 1.790000e+02 5.405924e+01 -6.215307e-02
1.206000e+02 1.792000e+02 5.799546e+01 -6.351957e-02
1.206000e+02 1.794000e+02 6.177740e+01 -6.489323e-02
1.206000e+02 1.796000e+02 6.541394e+01 -6.627155e-02
1.206000e+02 1.798000e+02 6.891329e+01 -6.765454e-02
1.206000e+02 1.800000e+02 7.228304e+01 -6.904223e-02
1.208000e+02 1.700000e+02 -2.298471e+03 -4.871619e-03
1.208000e+02 1.702000e+02 -1.773789e+03 -6.042709e-03
1.208000e+02 1.704000e+02 -1.427399e+03 -7.217648e-03
1.208000e+02 1.706000e+02 -1.181785e+03 -8.396435e-03
1.208000e+02 1.708000e+02 -9.986255e+02 -9.579068e-03
1.208000e+02 1.710000e+02 -8.568206e+02 -1.076554e-02
1.208000e+02 1.712000e+02 -7.438026e+02 -1.195586e-02
1.208000e+02 1.714000e+02 -6.516237e+02 -1.315003e-02
1.208000e+02 1.716000e+02 -5.750133e+02 -1.434803e-02
1.208000e+02 1.718000e+02 -5.103384e+02 -1.554987e-02
1.208000e+02 1.720000e+02 -4.550144e+02 -1.675555e-02
1.208000e+02 1.722000e+02 -4.071525e+02 -1.796508e-02
1.208000e+02 1.724000e+02 -3.653402e+02 -1.917844e-02
1.208000e+02 1.726000e+02 -3.285002e+02 -2.039627e-02
1.208000e+02 1.728000e+02 -2.957969e+02 -2.161889e-02
1.208000e+02 1.730000e+02 -2.665714e+02 -2.284545e-02
1.208000e+02 1.732000e+02 -2.402980e+02 -2.407595e-02
1.208000e+02 1.734000e+02 -2.165518e+02 -2.531040e-02
1.208000e+02 1.736000e+02 -1.949855e+02 -2.654880e-02
1.208000e+02 1.738000e+02 -1.753127e+02 -2.779114e-02
