mu	g3	g2	g1	yt	yb	yc	ys	yu	yd	ytau	ymu	ye	lambda
3.8037436e+13	5.6946032e-01	5.4134170e-01	5.5024619e-01	4.6076539e-01	6.4060472e-03	1.5478496e-03	1.3829967e-04	3.0742078e-06	6.7709302e-06	9.8964312e-03	5.8504801e-04	2.8294860e-06	-9.2915482e-03
6.0285274e+13	5.6570368e-01	5.3989867e-01	5.5226296e-01	4.5729561e-01	6.3491695e-03	1.5347339e-03	1.3720021e-04	3.0481586e-06	6.7171023e-06	9.8763236e-03	5.8385905e-04	2.8237359e-06	-9.6112393e-03
9.5545720e+13	5.6202078e-01	5.3846696e-01	5.5430197e-01	4.5388164e-01	6.2934123e-03	1.5218509e-03	1.3612087e-04	3.0225713e-06	6.6642598e-06	9.8559368e-03	5.8265359e-04	2.8179059e-06	-9.9083553e-03
1.5142976e+14	5.5840924e-01	5.3704644e-01	5.5636366e-01	4.5052176e-01	6.2387393e-03	1.5091930e-03	1.3506103e-04	2.9974313e-06	6.6123716e-06	9.8352762e-03	5.8143195e-04	2.8119976e-06	-1.0183734e-02
2.4000000e+14	5.5486677e-01	5.3563696e-01	5.5844845e-01	4.4721430e-01	6.1851153e-03	1.4967532e-03	1.3402007e-04	2.9727243e-06	6.5614079e-06	9.8143466e-03	5.8019441e-04	2.8060124e-06	-1.0438177e-02
3.8037436e+14	5.5139119e-01	5.3423838e-01	5.6055677e-01	4.4395770e-01	6.1325072e-03	1.4845246e-03	1.3299741e-04	2.9484371e-06	6.5113402e-06	9.7931530e-03	5.7894126e-04	2.7999518e-06	-1.0672452e-02
6.0285274e+14	5.4798043e-01	5.3285056e-01	5.6268907e-01	4.4075043e-01	6.0808829e-03	1.4725009e-03	1.3199249e-04	2.9245565e-06	6.4621413e-06	9.7716998e-03	5.7767277e-04	2.7938169e-06	-1.0887294e-02
9.5545720e+14	5.4463247e-01	5.3147338e-01	5.6484582e-01	4.3759104e-01	6.0302119e-03	1.4606758e-03	1.3100479e-04	2.9010704e-06	6.4137852e-06	9.7499912e-03	5.7638918e-04	2.7876091e-06	-1.1083407e-02
1.5142976e+15	5.4134542e-01	5.3010669e-01	5.6702750e-01	4.3447813e-01	5.9804651e-03	1.4490433e-03	1.3003380e-04	2.8779669e-06	6.3662468e-06	9.7280313e-03	5.7509074e-04	2.7813294e-06	-1.1261464e-02
2.4000000e+15	5.3811745e-01	5.2875037e-01	5.6923457e-01	4.3141037e-01	5.9316145e-03	1.4375977e-03	1.2907901e-04	2.8552345e-06	6.3195021e-06	9.7058239e-03	5.7377767e-04	2.7749789e-06	-1.1422113e-02
3.8037436e+15	5.3494679e-01	5.2740429e-01	5.7146756e-01	4.2838647e-01	5.8836333e-03	1.4263335e-03	1.2813997e-04	2.8328625e-06	6.2735282e-06	9.6833725e-03	5.7245018e-04	2.7685588e-06	-1.1565971e-02
6.0285274e+15	5.3183178e-01	5.2606833e-01	5.7372696e-01	4.2540519e-01	5.8364956e-03	1.4152454e-03	1.2721622e-04	2.8108403e-06	6.2283031e-06	9.6606807e-03	5.7110847e-04	2.7620698e-06	-1.1693633e-02
9.5545720e+15	5.2877079e-01	5.2474235e-01	5.7601332e-01	4.2246535e-01	5.7901770e-03	1.4043284e-03	1.2630734e-04	2.7891580e-06	6.1838055e-06	9.6377515e-03	5.6975274e-04	2.7555130e-06	-1.1805667e-02
1.5142976e+16	5.2576229e-01	5.2342625e-01	5.7832716e-01	4.1956580e-01	5.7446537e-03	1.3935777e-03	1.2541290e-04	2.7678057e-06	6.1400152e-06	9.6145879e-03	5.6838315e-04	2.7488892e-06	-1.1902617e-02
2.4000000e+16	5.2280478e-01	5.2211989e-01	5.8066906e-01	4.1670544e-01	5.6999030e-03	1.3829885e-03	1.2453250e-04	2.7467744e-06	6.0969125e-06	9.5911927e-03	5.6699987e-04	2.7421992e-06	-1.1985007e-02
3.8037436e+16	5.1989683e-01	5.2082317e-01	5.8303958e-01	4.1388320e-01	5.6559031e-03	1.3725563e-03	1.2366577e-04	2.7260549e-06	6.0544786e-06	9.5675686e-03	5.6560307e-04	2.7354438e-06	-1.2053337e-02
6.0285274e+16	5.1703708e-01	5.1953596e-01	5.8543932e-01	4.1109808e-01	5.6126328e-03	1.3622769e-03	1.2281233e-04	2.7056387e-06	6.0126956e-06	9.5437180e-03	5.6419287e-04	2.7286236e-06	-1.2108087e-02
9.5545720e+16	5.1422420e-01	5.1825815e-01	5.8786888e-01	4.0834908e-01	5.5700721e-03	1.3521460e-03	1.2197182e-04	2.6855175e-06	5.9715459e-06	9.5196431e-03	5.6276942e-04	2.7217393e-06	-1.2149717e-02
1.5142976e+17	5.1145692e-01	5.1698964e-01	5.9032889e-01	4.0563525e-01	5.5282016e-03	1.3421596e-03	1.2114391e-04	2.6656833e-06	5.9310127e-06	9.4953462e-03	5.6133284e-04	2.7147916e-06	-1.2178668e-02
2.4000000e+17	5.0873403e-01	5.1573030e-01	5.9282000e-01	4.0295568e-01	5.4870024e-03	1.3323138e-03	1.2032827e-04	2.6461285e-06	5.8910800e-06	9.4708290e-03	5.5988324e-04	2.7077808e-06	-1.2195363e-02
3.8037436e+17	5.0605434e-01	5.1448003e-01	5.9534286e-01	4.0030947e-01	5.4464566e-03	1.3226049e-03	1.1952457e-04	2.6268455e-06	5.8517322e-06	9.4460934e-03	5.5842074e-04	2.7007077e-06	-1.2200208e-02
